my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
CBNIABCL_01385	 Lipopolysaccharide heptosyltransferase 1	LFTS_01304	 heptosyltransferase-1	Glycosyltransferase family 9 (heptosyltransferase)
CBNIABCL_01384	 Lipopolysaccharide heptosyltransferase 1	LFTS_01305	 heptosyltransferase-1	Glycosyltransferase family 9 (heptosyltransferase)
CBNIABCL_01383	 SPBc2 prophage-derived glycosyltransferase SunS	LFTS_01306	 (heptosyl)LPS beta-1,4-glucosyltransferase	biosynthesis glycosyltransferase
CBNIABCL_01382	 hypothetical protein	LFTS_01307	 Glycosyl transferase family 2	Glycosyl transferase, family 2
CBNIABCL_01381	 hypothetical protein	LFTS_01308	 Glycosyltransferase, GT2 family	Glycosyl transferase, family 2
CBNIABCL_01380	 hypothetical protein	LFTS_01309	 Proline 4-hydroxylase (includes Rps23 Pro-64 3,4-dihydroxylase Tpa1), contains SM-20 domain	2OG-Fe(II) oxygenase superfamily
CBNIABCL_01379	 putative glycosyltransferase EpsJ	LFTS_01310	 Glycosyltransferase involved in cell wall bisynthesis	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
CBNIABCL_01378	 ADP-heptose--LPS heptosyltransferase 2	LFTS_01311	 heptosyltransferase-2	Glycosyltransferase family 9 (heptosyltransferase)
CBNIABCL_01377	 D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	LFTS_01312	 D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	D,D-heptose 1,7-bisphosphate phosphatase
CBNIABCL_01376	 hypothetical protein	LFTS_01313	 hypothetical protein	Trm112p-like protein
CBNIABCL_01375	 Lipopolysaccharide core heptosyltransferase RfaQ	LFTS_01314	 ADP-heptose:LPS heptosyltransferase	ADP-heptose-lipopolysaccharide heptosyltransferase activity
CBNIABCL_01374	 Lipopolysaccharide core heptosyltransferase RfaQ	LFTS_01315	 heptosyltransferase-3	Glycosyltransferase family 9 (heptosyltransferase)
CBNIABCL_01373	 Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	LFTS_01316	 Polysaccharide deacetylase	polysaccharide deacetylase
CBNIABCL_01372	 2-deoxystreptamine glucosyltransferase	LFTS_01317	 Glycosyltransferase involved in cell wall bisynthesis	transferase activity, transferring glycosyl groups
CBNIABCL_01371	 hypothetical protein	LFTS_01318	 hypothetical protein	InterPro IPR007367
CBNIABCL_01370	 hypothetical protein	LFTS_01319	 Diacylglycerol kinase family enzyme	Diacylglycerol kinase catalytic domain (presumed)
CBNIABCL_01369	 hypothetical protein	LFTS_01320	 hypothetical protein	 Not found 
CBNIABCL_01368	 L-Lysine--8-amino-7-oxononanoate transaminase	LFTS_01321	 adenosylmethionine-8-amino-7-oxononanoate aminotransferase	Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor
CBNIABCL_01366	 putative NTE family protein	LFTS_01322	 NTE family protein	Phospholipase, patatin family
CBNIABCL_01365	 hypothetical protein	LFTS_01323	 putative inorganic carbon (hco3(-)) transporter	-O-antigen
CBNIABCL_01364	 putative PIN and TRAM-domain containing protein YacL	LFTS_01324	 hypothetical protein	Large family of predicted nucleotide-binding domains
CBNIABCL_01363	 Bifunctional enzyme IspD/IspF	LFTS_01325	 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	Bifunctional enzyme that catalyzes the formation of 4- diphosphocytidyl-2-C-methyl-D-erythritol from CTP and 2-C-methyl- D-erythritol 4-phosphate (MEP) (IspD), and catalyzes the conversion of 4-diphosphocytidyl-2-C-methyl-D-erythritol 2- phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4- cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP) (IspF)
CBNIABCL_01362	 Serine acetyltransferase	LFTS_01326	 serine O-acetyltransferase	Serine acetyltransferase, N-terminal
CBNIABCL_01361	 Undecaprenyl-diphosphatase BcrC	LFTS_01327	 undecaprenyl-diphosphatase	Acid phosphatase homologues
CBNIABCL_01360	 hypothetical protein	LFTS_01328	 Dolichyl-phosphate-mannose-protein mannosyltransferase	4-amino-4-deoxy-L-arabinose transferase activity
CBNIABCL_01359	 ADP-heptose--LPS heptosyltransferase 2	LFTS_01329	 heptosyltransferase-2	ADP-heptose-lipopolysaccharide heptosyltransferase activity
CBNIABCL_01358	 Polyprenol monophosphomannose synthase	LFTS_01330	 dolichol-phosphate mannosyltransferase	Glycosyl transferase family 2
CBNIABCL_01356	 hypothetical protein	LFTS_01331	 Dolichyl-phosphate-mannose-protein mannosyltransferase	4-amino-4-deoxy-L-arabinose transferase activity
CBNIABCL_01355	 Bifunctional purine biosynthesis protein PurH	LFTS_01332	 phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	AICARFT/IMPCHase bienzyme
CBNIABCL_01354	 Phosphoribosylamine--glycine ligase	LFTS_01333	 phosphoribosylamine--glycine ligase	Phosphoribosylglycinamide synthetase, C domain
CBNIABCL_01353	 Threonylcarbamoyl-AMP synthase	LFTS_01334	 translation factor SUA5	L-threonylcarbamoyladenylate synthase
CBNIABCL_01352	 hypothetical protein	LFTS_01335	 Putative peptidoglycan binding domain-containing protein	Peptidoglycan-binding domain 1 protein
CBNIABCL_01351	 Ribosomal RNA small subunit methyltransferase D	LFTS_01336	 16S rRNA (guanine966-N2)-methyltransferase	Conserved hypothetical protein 95
CBNIABCL_01350	 Phosphopantetheine adenylyltransferase	LFTS_01337	 Phosphopantetheine adenylyltransferase	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate
CBNIABCL_01349	 Aspartate aminotransferase	LFTS_01338	 aspartate aminotransferase	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
CBNIABCL_01348	 Lipoprotein-releasing system ATP-binding protein LolD	LFTS_01339	 lipoprotein-releasing system ATP-binding protein	Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner
CBNIABCL_01347	 Lipoprotein-releasing system transmembrane protein LolC	LFTS_01340	 lipoprotein-releasing system permease protein	MacB-like periplasmic core domain
CBNIABCL_01346	 Lysine--tRNA ligase	LFTS_01341	 lysyl-tRNA synthetase, class II	tRNA synthetases class II (D, K and N)
CBNIABCL_01345	 Methylthioribose-1-phosphate isomerase	LFTS_01342	 methylthioribose-1-phosphate isomerase	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)
CBNIABCL_01344	 hypothetical protein	LFTS_01343	 4-alpha-glucanotransferase	PFAM Amylo-alpha-16-glucosidase
CBNIABCL_01343	 Ferrochelatase	LFTS_01344	 ferrochelatase	Catalyzes the ferrous insertion into protoporphyrin IX
CBNIABCL_01342	 hypothetical protein	LFTS_01345	 lipopolysaccharide export system permease protein	Predicted permease YjgP/YjgQ family
CBNIABCL_01341	 hypothetical protein	LFTS_01346	 lipopolysaccharide export system permease protein	Predicted permease YjgP/YjgQ family
CBNIABCL_01340	 tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	LFTS_01347	 tRNA-2-methylthio-N6-dimethylallyladenosine synthase	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine
CBNIABCL_01339	 hypothetical protein	LFTS_01348	 hypothetical protein	Domain of unknown function (DUF5069)
CBNIABCL_01338	 Aklanonic acid methyltransferase DauC	LFTS_01349	 Methyltransferase domain-containing protein	methyltransferase
CBNIABCL_01337	 hypothetical protein	LFTS_01350	 hypothetical protein	 Not found 
CBNIABCL_01336	 Cbb3-type cytochrome c oxidase subunit FixP	LFTS_01351	 Cytochrome C oxidase, cbb3-type, subunit III	Cytochrome C oxidase, cbb3-type, subunit III
CBNIABCL_01335	 Glutamate-pyruvate aminotransferase AlaC	LFTS_01352	 alanine-synthesizing transaminase	Aminotransferase class I and II
CBNIABCL_01333	 hypothetical protein	LFTS_01353	 hypothetical protein	 Not found 
CBNIABCL_01332	 Homoserine dehydrogenase	LFTS_01354	 homoserine dehydrogenase	Homoserine dehydrogenase
CBNIABCL_01331	 Threonine synthase	LFTS_01355	 threonine synthase	Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine
CBNIABCL_01330	 hypothetical protein	LFTS_01356	 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity
CBNIABCL_01329	 Aspartate kinase Ask_LysC	LFTS_01357	 aspartate kinase	ACT domain
CBNIABCL_01328	 (R)-citramalate synthase	LFTS_01358	 (R)-citramalate synthase	Belongs to the alpha-IPM synthase homocitrate synthase family
CBNIABCL_01327	 Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	LFTS_01359	 acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
CBNIABCL_01326	 Integration host factor subunit alpha	LFTS_01360	 integration host factor subunit alpha	bacterial (prokaryotic) histone like domain
CBNIABCL_01324	 5'-nucleotidase SurE	LFTS_01362	 5'-nucleotidase /3'-nucleotidase /exopolyphosphatase	Nucleotidase that shows phosphatase activity on nucleoside 5'-monophosphates
CBNIABCL_01323	 hypothetical protein	LFTS_01363	 hypothetical protein	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins
CBNIABCL_01322	 Cysteine--tRNA ligase	LFTS_01364	 cysteinyl-tRNA synthetase	DALR_2
CBNIABCL_01321	 Putative TrmH family tRNA/rRNA methyltransferase	LFTS_01365	 23S rRNA (guanosine2251-2'-O)-methyltransferase	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family
CBNIABCL_01320	 Thiol-disulfide oxidoreductase ResA	LFTS_01366	 Thiol-disulfide isomerase or thioredoxin	cell redox homeostasis
CBNIABCL_01319	 Glutamine-dependent NAD(+) synthetase	LFTS_01367	 NAD+ synthase (glutamine-hydrolysing)	Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source
CBNIABCL_01318	 Riboflavin biosynthesis protein RibBA	LFTS_01368	 GTP cyclohydrolase II /3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
CBNIABCL_01317	 6,7-dimethyl-8-ribityllumazine synthase	LFTS_01369	 6,7-dimethyl-8-ribityllumazine synthase	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin
CBNIABCL_01316	 N utilization substance protein B 	LFTS_01370	 NusB antitermination factor	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons
CBNIABCL_01315	 hypothetical protein	LFTS_01371	 hypothetical protein	 Not found 
CBNIABCL_01314	 Adenylosuccinate lyase	LFTS_01372	 Adenylosuccinate lyase	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily
CBNIABCL_01313	 Phosphoribosylaminoimidazole-succinocarboxamide synthase	LFTS_01373	 phosphoribosylaminoimidazole-succinocarboxamide synthase	SAICAR synthetase
CBNIABCL_01312	 Phosphoribosylformylglycinamidine synthase subunit PurS	LFTS_01374	 phosphoribosylformylglycinamidine synthase	Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL
CBNIABCL_01311	 hypothetical protein	LFTS_01375	 hypothetical protein	 Not found 
CBNIABCL_01310	 Isoaspartyl peptidase	LFTS_01376	 beta-aspartyl-peptidase (threonine type)	Asparaginase
CBNIABCL_01308	 Acetate kinase	LFTS_01377	 acetate kinase	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
CBNIABCL_01307	 Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	LFTS_01378	 Ubiquinone/menaquinone biosynthesis C-methylase UbiE	Methyltransferase domain
CBNIABCL_01305	 Fe(3+) dicitrate transport protein FecA	LFTS_01379	 iron complex outermembrane recepter protein	TonB-dependent receptor
CBNIABCL_01304	 hypothetical protein	LFTS_01380	 protein TonB	energy transducer activity
CBNIABCL_01303	 hypothetical protein	LFTS_01381	 outer membrane transport energization protein ExbD	biopolymer transport protein
CBNIABCL_01302	 Biopolymer transport protein ExbB	LFTS_01382	 biopolymer transport protein ExbB	bacteriocin transport
CBNIABCL_01301	 Inner membrane transport permease YbhR	LFTS_01383	 ABC-2 type transport system permease protein	ABC-2 family transporter protein
CBNIABCL_01300	 Inner membrane transport permease YbhS	LFTS_01384	 ABC-2 type transport system permease protein	ABC-2 family transporter protein
CBNIABCL_01299	 putative ABC transporter ATP-binding protein YbhF	LFTS_01385	 ABC-2 type transport system ATP-binding protein	AAA domain, putative AbiEii toxin, Type IV TA system
CBNIABCL_01298	 Macrolide export protein MacA	LFTS_01386	 HlyD family secretion protein	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
CBNIABCL_01297	 Outer membrane protein TolC	LFTS_01387	 outer membrane protein	efflux transmembrane transporter activity
CBNIABCL_01296	 Cytochrome c-551	LFTS_01388	 cytochrome c	Cytochrome c, class I
CBNIABCL_01295	 Xylulose-5-phosphate phosphoketolase	LFTS_01389	 xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
CBNIABCL_01294	 Fructose-bisphosphate aldolase class 1	LFTS_01390	 fructose-bisphosphate aldolase	PFAM deoxyribose-phosphate aldolase phospho-2-dehydro-3-deoxyheptonate aldolase
CBNIABCL_01293	 Dihydrolipoyl dehydrogenase	LFTS_01391	 dihydrolipoamide dehydrogenase	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
CBNIABCL_01292	 GDP-L-fucose synthase	LFTS_01392	 Nucleoside-diphosphate-sugar epimerase	NmrA-like family
CBNIABCL_01291	 Glycogen phosphorylase	LFTS_01393	 starch phosphorylase	Carbohydrate phosphorylase
CBNIABCL_01290	 Phosphoglucomutase	LFTS_01394	 phosphoglucomutase	Phosphoglucomutase/phosphomannomutase, C-terminal domain
CBNIABCL_01288	 hypothetical protein	LFTS_01395	 Transposase (or an inactivated derivative)	Transposase
CBNIABCL_01287	 Cbb3-type cytochrome c oxidase subunit CcoN1	LFTS_01396	 cytochrome c oxidase cbb3-type subunit 1	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
CBNIABCL_01286	 hypothetical protein	LFTS_01397	 hypothetical protein	 Not found 
CBNIABCL_01285	 putative transport protein HsrA	LFTS_01398	 MFS transporter, DHA2 family, multidrug resistance protein	Major facilitator Superfamily
CBNIABCL_01284	 hypothetical protein	LFTS_01399	 hypothetical protein	 Not found 
CBNIABCL_01283	 Energy-dependent translational throttle protein EttA	LFTS_01400	 sulfate-transporting ATPase	ABC transporter
CBNIABCL_01282	 hypothetical protein	LFTS_01401	 hypothetical protein	
CBNIABCL_01281	 hypothetical protein	LFTS_01402	 hypothetical protein	Domain of unknown function (DUF4398)
CBNIABCL_01280	 putative lipoprotein YiaD	LFTS_01403	 Outer membrane protein OmpA	chlorophyll binding
CBNIABCL_01279	 hypothetical protein	LFTS_01404	 SAM-dependent methyltransferase	methyltransferase
CBNIABCL_01278	 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	LFTS_01405	 putative phosphoesterase	acid phosphatase activity
CBNIABCL_01277	 DNA replication and repair protein RecF	LFTS_01406	 putative protein YhaN	AAA domain
CBNIABCL_01276	 putative metallophosphoesterase YhaO	LFTS_01407	 DNA repair exonuclease SbcCD nuclease subunit	Calcineurin-like phosphoesterase superfamily domain
CBNIABCL_01275	 hypothetical protein	LFTS_01408	 hypothetical protein	HNH nucleases
CBNIABCL_01274	 hypothetical protein	LFTS_01409	 Outer membrane protein OmpA	OmpA family
CBNIABCL_01273	 hypothetical protein	LFTS_01410	 hypothetical protein	Phage-related minor tail protein
CBNIABCL_01272	 Secretory immunoglobulin A-binding protein EsiB	LFTS_01411	 Sel1 repeat-containing protein	Evidence 5 No homology to any previously reported sequences
